id,source,platform,date,raw_text,rating,url,ai_analysis
31cfc198-07a9-4d97-a247-7eb26b8022f6,play_store,Myntra,2026-08-29T13:18:13,"My order was never delivered, but Myntra marked it as delivered. There was no OTP, no call from the delivery executive and no recipient confirmation. I repeatedly contacted customer support, but my tickets were closed without resolving the issue. Myntra now claims its internal investigation shows the order was delivered but refuses to provide any proof, calling it “confidential.”I was even asked to schedule a return, despite never receiving the product.Very pathetic service by myntra avoid this",1,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=31cfc198-07a9-4d97-a247-7eb26b8022f6,"{'theme': 'Quality / Trust', 'barrier': 'Returns/exchange concern', 'behavior': 'Purchased', 'intent': 'Low', 'opportunity': 'Clearer return policies & easy-return badge', 'rating': 1}"
app_store_fallback_0,app_store,Myntra,2026-08-29T13:18:13,"My order was never delivered, but Myntra marked it as delivered. There was no OTP, no call from the delivery executive and no recipient confirmation. I repeatedly contacted customer support, but my tickets were closed without resolving the issue. Myntra now claims its internal investigation shows the order was delivered but refuses to provide any proof, calling it “confidential.”I was even asked to schedule a return, despite never receiving the product.Very pathetic service by myntra avoid this",1,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=31cfc198-07a9-4d97-a247-7eb26b8022f6,"{'theme': 'Quality / Trust', 'barrier': 'Returns/exchange concern', 'behavior': 'Purchased', 'intent': 'Low', 'opportunity': 'Clearer return policies & easy-return badge', 'rating': 1}"
00cd7694-477a-4713-a992-624020a09bfe,play_store,Myntra,2026-08-29T13:16:54,good quality,5,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=00cd7694-477a-4713-a992-624020a09bfe,"{'theme': 'Quality / Trust', 'barrier': 'Quality uncertainty', 'behavior': 'Unknown', 'intent': 'High', 'opportunity': 'Highlight verified purchase reviews & fabric details', 'rating': 5}"
app_store_fallback_1,app_store,Myntra,2026-08-29T13:16:54,good quality,5,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=00cd7694-477a-4713-a992-624020a09bfe,"{'theme': 'Quality / Trust', 'barrier': 'Quality uncertainty', 'behavior': 'Unknown', 'intent': 'High', 'opportunity': 'Highlight verified purchase reviews & fabric details', 'rating': 5}"
f6b48fdd-a400-4c59-9afd-dc584ce4b8d7,play_store,Myntra,2026-08-29T13:07:43,Myntra always satisfies me 🤗if I talk about its fabric colour and all what is formed in images Thank you Myntra,5,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=f6b48fdd-a400-4c59-9afd-dc584ce4b8d7,"{'theme': 'Quality / Trust', 'barrier': 'Quality uncertainty', 'behavior': 'Unknown', 'intent': 'High', 'opportunity': 'Highlight verified purchase reviews & fabric details', 'rating': 5}"
app_store_fallback_2,app_store,Myntra,2026-08-29T13:07:43,Myntra always satisfies me 🤗if I talk about its fabric colour and all what is formed in images Thank you Myntra,5,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=f6b48fdd-a400-4c59-9afd-dc584ce4b8d7,"{'theme': 'Quality / Trust', 'barrier': 'Quality uncertainty', 'behavior': 'Unknown', 'intent': 'High', 'opportunity': 'Highlight verified purchase reviews & fabric details', 'rating': 5}"
3d5bf20a-ff81-4621-bf43-e1c23f176eb2,play_store,Myntra,2026-08-29T12:58:58,very good quality under cheap prices,5,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=3d5bf20a-ff81-4621-bf43-e1c23f176eb2,"{'theme': 'Price / Timing', 'barrier': 'Quality uncertainty', 'behavior': 'Unknown', 'intent': 'High', 'opportunity': 'Highlight verified purchase reviews & fabric details', 'rating': 5}"
app_store_fallback_3,app_store,Myntra,2026-08-29T12:58:58,very good quality under cheap prices,5,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=3d5bf20a-ff81-4621-bf43-e1c23f176eb2,"{'theme': 'Price / Timing', 'barrier': 'Quality uncertainty', 'behavior': 'Unknown', 'intent': 'High', 'opportunity': 'Highlight verified purchase reviews & fabric details', 'rating': 5}"
7291b790-3643-4b8a-a3cb-8804c88e9d9a,play_store,Myntra,2026-08-29T12:50:19,"I ordered this product from Myntra, and they delivered a product that was already around two years old. Despite contacting customer support immediately, I was first assured that a return would be arranged. After 7–8 days of repeated follow-ups, I was suddenly told that customer support has no authority to arrange the return. The communication has been completely inconsistent and disappointing.",1,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=7291b790-3643-4b8a-a3cb-8804c88e9d9a,"{'theme': 'Quality / Trust', 'barrier': 'Returns/exchange concern', 'behavior': 'Returned/exchanged', 'intent': 'Low', 'opportunity': 'Clearer return policies & easy-return badge', 'rating': 1}"
app_store_fallback_4,app_store,Myntra,2026-08-29T12:50:19,"I ordered this product from Myntra, and they delivered a product that was already around two years old. Despite contacting customer support immediately, I was first assured that a return would be arranged. After 7–8 days of repeated follow-ups, I was suddenly told that customer support has no authority to arrange the return. The communication has been completely inconsistent and disappointing.",1,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=7291b790-3643-4b8a-a3cb-8804c88e9d9a,"{'theme': 'Quality / Trust', 'barrier': 'Returns/exchange concern', 'behavior': 'Returned/exchanged', 'intent': 'Low', 'opportunity': 'Clearer return policies & easy-return badge', 'rating': 1}"
6219b2b9-f601-4341-910f-b37755c1af61,play_store,Myntra,2026-08-29T12:40:00,"My experience is very good and the product I got is also very good, this is an app that everyone should use and experience, thanks mayntra. And I am going to ask for many things.✌️",5,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=6219b2b9-f601-4341-910f-b37755c1af61,"{'theme': 'Social Validation', 'barrier': 'Need for social validation', 'behavior': 'Unknown', 'intent': 'High', 'opportunity': ""Show 'X people bought this' or styling community"", 'rating': 5}"
app_store_fallback_5,app_store,Myntra,2026-08-29T12:40:00,"My experience is very good and the product I got is also very good, this is an app that everyone should use and experience, thanks mayntra. And I am going to ask for many things.✌️",5,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=6219b2b9-f601-4341-910f-b37755c1af61,"{'theme': 'Social Validation', 'barrier': 'Need for social validation', 'behavior': 'Unknown', 'intent': 'High', 'opportunity': ""Show 'X people bought this' or styling community"", 'rating': 5}"
d2611cbe-369b-47f8-ac16-51b556f94522,play_store,Myntra,2026-08-29T12:04:54,"My order was never delivered, but Myntra marked it as delivered. There was no OTP, no call from the delivery executive and no recipient confirmation. I repeatedly contacted customer support, but my tickets were closed without resolving the issue. Myntra now claims its internal investigation shows the order was delivered but refuses to provide any proof, calling it “confidential.” I was even asked to schedule a return, despite never receiving the product. Never use there app.",1,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=d2611cbe-369b-47f8-ac16-51b556f94522,"{'theme': 'Quality / Trust', 'barrier': 'Returns/exchange concern', 'behavior': 'Purchased', 'intent': 'Low', 'opportunity': 'Clearer return policies & easy-return badge', 'rating': 1}"
